Date,Sales,Product_ID,Region
2023-01-04 10:52:47,360.47,1269,South
2023-01-07 05:28:32,936.37,1770,South
2023-01-10 20:55:41,723.22,1444,South
2023-02-21 01:29:20,609.94,1488,South
2023-03-19 09:31:30,700.67,1094,South
2023-03-30 17:08:52,366.53,1275,South
2023-04-01 01:38:50,157.73,1184,South
2023-04-27 17:45:06,206.85,1174,South
2023-05-30 13:57:14,744.69,1875,South
2023-05-31 08:02:51,218.62,1226,South
2023-06-08 17:57:23,472.84,1371,South
2023-06-08 19:46:56,386.18,1554,South
2023-06-13 04:47:35,338.85,1589,South
2023-07-29 07:49:30,386.71,1515,South
2023-08-05 20:52:15,618.35,1637,South
2023-09-01 00:18:17,184.55,1280,South
2023-10-18 15:24:05,570.92,1286,South
