Date,Sales,Product_ID,Region
2023-01-27 22:28:03,116.91,1180,North
2023-01-30 19:09:40,383.89,1169,North
2023-02-09 13:53:15,989.54,1197,North
2023-02-09 22:09:36,703.57,1560,North
2023-02-24 00:45:02,949.37,1227,North
2023-04-04 14:05:27,713.64,1954,North
2023-05-07 10:07:46,191.84,1606,North
2023-05-16 14:58:17,727.87,1909,North
2023-05-31 09:21:59,287.99,1256,North
2023-07-13 14:40:01,493.33,1719,North
2023-07-20 14:50:25,611.59,1868,North
2023-08-04 23:54:50,216.03,1581,North
2023-08-30 02:46:47,427.34,1675,North
2023-08-30 05:14:05,655.87,1846,North
2023-10-07 00:23:56,245.18,1881,North
2023-11-01 09:17:45,154.2,1373,North
2023-11-06 08:43:11,289.34,1305,North
2023-11-27 07:36:30,494.74,1095,North
2023-12-02 04:50:43,613.18,1448,North
2023-12-15 04:44:03,655.24,1660,North
2023-12-19 12:41:55,650.89,1143,North
2023-12-20 08:47:28,423.56,1791,North
2023-12-23 08:51:11,700.09,1853,North
